Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
36561319,06/27/2017 12:00:00 AM,07/25/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10011,404 WEST   22 STREET,WEST   22 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,07/27/2017 09:56:18 PM,07/25/2017 12:00:00 AM,04 MANHATTAN,MANHATTAN,983666,211043,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.745940848436454,-74.0021076203444,"(40.745940848436454, -74.0021076203444)"
36561616,06/27/2017 12:00:00 AM,06/28/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11214,1758 BATH AVENUE,BATH AVENUE,BAY 17 STREET,18 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/27/2017 12:27:57 PM,06/28/2017 12:00:00 AM,11 BROOKLYN,BROOKLYN,982384,159407,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60421151332531,-74.00671998421038,"(40.60421151332531, -74.00671998421038)"
36561886,06/27/2017 12:00:00 AM,07/15/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11205,569 MYRTLE AVENUE,MYRTLE AVENUE,EMERSON PLACE,CLASSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/27/2017 10:19:36 AM,07/15/2017 12:00:00 AM,02 BROOKLYN,BROOKLYN,994925,192109,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69396516186598,-73.96150460818417,"(40.69396516186598, -73.96150460818417)"
36563219,06/28/2017 12:00:00 AM,06/13/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216,37 ROGERS AVENUE,ROGERS AVENUE,BEDFORD AVENUE,BERGEN STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,07/28/2017 09:19:32 PM,06/28/2017 09:28:15 PM,08 BROOKLYN,BROOKLYN,997377,185717,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67641728806003,-73.952674842687,"(40.67641728806003, -73.952674842687)"
36563226,06/28/2017 12:00:00 AM,06/30/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10030,WEST 142 STREET,WEST 142 STREET,MALCOLM X BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,,,BLOCKFACE,NEW YORK,,N/A,Closed,07/28/2017 10:28:55 AM,06/30/2017 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
36563224,06/28/2017 12:00:00 AM,07/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10002,7 GOUVERNEUR SLIP EAST,GOUVERNEUR SLIP EAST,F D R DRIVE,WATER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,07/28/2017 11:01:08 AM,07/11/2017 12:00:00 AM,03 MANHATTAN,MANHATTAN,988888,198333,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71105380444922,-73.98327050164197,"(40.71105380444922, -73.98327050164197)"
36563227,06/28/2017 12:00:00 AM,07/10/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,10466,3840 SETON AVENUE,SETON AVENUE,DEAD END,EAST 233 STREET,,,ADDRESS,BRONX,,N/A,Closed,07/28/2017 07:06:37 AM,07/10/2017 12:00:00 AM,12 BRONX,BRONX,1029525,263021,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.88848970592625,-73.836254826771,"(40.88848970592625, -73.836254826771)"
36563222,06/28/2017 12:00:00 AM,07/20/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11375,10182-1019 UNION TPKE,UNION TPKE,,,,,LATLONG,FOREST HILLS,,N/A,Closed,07/28/2017 06:12:53 PM,07/20/2017 11:49:35 AM,Unspecified QUEENS,QUEENS,1025499,197193,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70782984172414,-73.85121991585515,"(40.70782984172414, -73.85121991585515)"
36563250,06/28/2017 12:00:00 AM,05/18/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10029,171 EAST  111 STREET,EAST  111 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,07/28/2017 07:01:50 PM,06/28/2017 07:04:48 PM,11 MANHATTAN,MANHATTAN,999950,228983,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79516754420941,-73.94329775701391,"(40.79516754420941, -73.94329775701391)"
36563252,06/28/2017 12:00:00 AM,05/30/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11206,189 BOERUM STREET,BOERUM STREET,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,07/28/2017 05:42:46 PM,06/28/2017 05:49:56 PM,01 BROOKLYN,BROOKLYN,1000683,196535,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.706104676273554,-73.94072974227127,"(40.706104676273554, -73.94072974227127)"
36563257,06/28/2017 12:00:00 AM,07/17/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10128,EAST 93 STREET,EAST 93 STREET,2 AVENUE,1 AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Closed,07/28/2017 09:56:44 AM,07/17/2017 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
36564370,06/28/2017 12:00:00 AM,07/26/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10304,26 GROVE STREET,GROVE STREET,HYGEIA PLACE,GORDON STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,07/28/2017 07:56:00 PM,07/26/2017 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,961537,167643,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.626788709003606,-74.08182350219982,"(40.626788709003606, -74.08182350219982)"
36564436,06/28/2017 12:00:00 AM,06/16/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11249,184 KENT AVE,KENT AVE,,,,,LATLONG,BROOKLYN,,N/A,Pending,07/28/2017 10:04:28 AM,06/28/2017 10:06:50 AM,Unspecified BROOKLYN,BROOKLYN,994105,201049,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71850430196808,-73.96444854677291,"(40.71850430196808, -73.96444854677291)"
36564437,06/28/2017 12:00:00 AM,07/13/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,731 WASHINGTON AVENUE,WASHINGTON AVENUE,GRAND AVENUE,STERLING PLACE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/28/2017 08:20:12 PM,07/13/2017 12:00:00 AM,08 BROOKLYN,BROOKLYN,994460,185165,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67490601756836,-73.96319197853674,"(40.67490601756836, -73.96319197853674)"
36564478,06/28/2017 12:00:00 AM,07/22/2017 12:18:22 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10310,43 ALLEN COURT,ALLEN COURT,CLOVE ROAD,ELIZABETH STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,07/28/2017 06:57:48 PM,07/22/2017 12:18:22 PM,01 STATEN ISLAND,STATEN ISLAND,951143,168042,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62785113260521,-74.11926976855405,"(40.62785113260521, -74.11926976855405)"
36565546,06/28/2017 12:00:00 AM,06/28/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10039,2793 8 AVENUE,8 AVENUE,WEST 148 STREET,WEST 149 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,07/28/2017 02:36:10 PM,06/28/2017 02:48:11 PM,10 MANHATTAN,MANHATTAN,1000768,239867,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82503960547896,-73.94031668016424,"(40.82503960547896, -73.94031668016424)"
